name,version,median,min,max,accuracy
C (gcc),11.2.1,80.71,80.67,80.95,0.7222
C++ (g++),11.2.1,80.82,80.77,81.47,0.7222
Julia (AOT compiled),1.8.2,81.17,81.16,81.21,0.8235
Fortran 90,11.2.0,81.63,81.6,81.63,0.3462
Nim,1.6.6,161.26,161.14,161.42,0.7222
Go,1.19.1,162.47,162.36,162.73,0.7647
Rust,1.60.0,163.67,163.26,164.88,0.7222
LuaJIT,2.1.0,163.91,163.86,282.6,0.7222
Swift,5.7,166.21,166.21,166.71,0.7222
Crystal,1.6.0,194.9,194.69,196.73,0.7647
Java,19.36,213.6,212.49,214.88,0.7647
C#,7.0.100,233.3,232.62,233.35,0.7647
Julia,1.8.2,355.62,351.75,360.63,0.7778
Javascript (nodejs),18.9.1,429.61,426.78,430.9,0.7647
Python (PyPy),3.9.12,645.15,639.03,653.12,0.7778
R,4.2.0,651.36,647.16,651.67,0.8889
Clojure,1.11.1.1165,2082.6,1436.33,2103.07,0.7647
Elixir,1.13.4,2678.39,2665.1,2701.47,0.5556
PHP,8.1.11,2728.86,2726.56,2794.49,0.7222
Lua,5.4.4,4995.53,4699.89,5082.61,0.7222
Python (CPython),3.10.5,10941.44,10926.58,10953.65,0.7778
Ruby,3.1.2,12245.89,12219.82,12411.97,0.7647
Perl,5.34.1,12271.48,12258.32,12346.64,0.7647
Clojure (Babashka),1.0.164,34503.25,34484.35,34583.48,0.7647
