name,version,median,min,max,accuracy
C (gcc),11.2.1,80.59,80.52,81.03,8.4968
C (clang),13.0.1,82.71,80.71,83.24,8.4972
C++ (avx2),11.2.1,80.88,80.82,80.99,8.4969
C++ (g++),11.2.1,81.52,80.86,90.3,8.4968
D (GDC),11.2.1,81.15,81.01,86.36,8.4968
Nim,1.6.6,82.88,81.05,84.22,8.4975
Fortran 90,12.1.0,82.08,81.45,82.27,8.4972
Julia (AOT compiled),1.8.2,81.54,81.52,81.6,8.4971
C++ (clang++),13.0.1,84.83,82.2,88.81,8.4972
Rust (nightly),1.67.0,83.17,82.65,83.54,8.497
D (LDC),1.28.1,85.02,82.76,91.3,8.4972
Go,1.19.1,163.86,162.92,166.72,8.4972
Rust,1.64.0,164.59,163.62,166.4,8.4972
Pony,0.51.4,166.94,166.34,167.72,8.4972
Pony(nightly),14.0.3,167.6,167.47,168.07,8.4972
Common Lisp (SBCL),2.2.5,171.11,170.27,175.25,8.4972
Swift,5.7.1,171.26,171.21,173.39,8.4971
Zig,0.9.1,172.99,171.32,174.77,8.4972
LuaJIT,2.1.0,194.85,193.71,218.0,8.4971
C#,7.0.100,251.99,248.99,258.62,8.4972
Crystal,1.6.2,289.78,285.39,292.42,8.4971
Java,19.36,304.25,293.65,305.18,8.4972
Javascript (bun),0.2.0,345.89,345.49,355.84,8.4972
Javascript (nodejs),18.9.1,364.77,363.11,366.4,8.4972
Julia,1.8.2,412.17,403.7,420.13,8.4971
Julia (ux4),1.8.2,415.52,405.54,428.4,7.7981
Python (PyPy),3.9.12,795.29,789.38,798.12,8.4972
R,4.2.0,870.95,857.33,877.83,8.4971
Clojure,1.11.1.1189,2426.31,2297.4,2617.55,8.4972
Lua,5.4.4,2449.62,2392.51,2469.61,8.4971
PHP,8.1.12,3261.55,3251.72,3344.51,8.4972
Elixir,1.13.4,3500.95,3484.17,3525.51,8.4326
Python (CPython),3.11.0,6354.76,6346.11,6877.81,8.4972
Ruby,3.1.2,16149.34,15965.83,16344.29,8.4971
Perl,5.34.1,16277.01,16240.1,16281.39,8.4971
Clojure (Babashka),1.0.165,44192.89,44102.89,44253.21,8.4972
