name,version,average,accuracy
C++ (g++),11.2.1,161.422,0.7222222222222222
Julia (AOT compiled),1.8.2,161.677,0.7647058823529411
Fortran 90 (gfortran),11.2.1,161.762,0.65
Nim,1.6.6,161.81,0.7222222222222222
C (gcc),11.2.1,161.81,0.7222222222222222
Go,1.19.1,162.448,0.7647058823529411
Rust,1.60.0,163.962,0.7222222222222222
Java,19.36,212.181,0.7647058823529411
Javascript (nodejs),18.9.1,424.986,0.7647058823529411
Julia,1.8.2,427.48900000000003,0.7647058823529411
Python (PyPy),3.9.12,964.484,0.7222222222222222
Crystal,1.4.1,1426.1889999999999,0.7647058823529411
Elixir,1.13.4,2650.7110000000002,0.5555555555555556
PHP,8.1.11,2730.656,0.7222222222222222
Clojure,1.11.1.1165,2826.075,0.6666666666666666
Lua,5.4.4,5101.5160000000005,0.7222222222222222
Swift,5.7,5246.138,0.7647058823529411
R,4.2.0,6404.804999999999,0.7222222222222222
Clojure (Babashka),0.10.163,10272.460000000001,0.6666666666666666
Ruby,3.1.2,12194.286999999998,0.7647058823529411
Python (CPython),3.10.5,28513.902000000002,0.7222222222222222
