name,version,median,min,max,accuracy
Rust,1.64.0,149.0,148.05,149.31,8.5396
Nim,1.6.6,168.81,164.41,169.86,8.4971
Go,1.19.1,165.71,164.74,169.62,8.4972
C++ (g++),11.2.1,173.26,172.14,175.55,8.4968
D (GDC),11.2.1,174.53,173.87,177.08,8.4968
C++ (clang++),13.0.1,175.71,175.25,179.0,8.4972
C (gcc),11.2.1,178.24,175.6,182.77,8.4968
Fortran 90,12.1.0,179.46,175.79,181.96,8.4972
C (clang),13.0.1,176.55,176.1,176.61,8.4972
C++ (avx2),11.2.1,177.06,176.21,182.27,8.4969
Zig,0.9.1,182.46,178.93,183.2,8.4972
Swift,5.7,183.83,179.67,203.74,8.4971
Common Lisp (SBCL),2.2.5,185.55,184.3,189.64,8.4972
Julia (AOT compiled),1.8.2,194.11,193.64,198.59,8.4971
LuaJIT,2.1.0,200.81,196.22,205.38,8.4971
Crystal,1.6.1,203.34,199.06,207.91,8.4971
Java,19.36,250.42,246.56,256.11,8.4972
Javascript (bun),0.2.0,266.83,259.63,278.76,8.4972
C#,7.0.100,264.83,260.92,265.18,8.4972
Javascript (nodejs),18.9.1,329.04,320.4,333.54,8.4972
Julia (ux4),1.8.2,525.63,519.03,536.14,7.798
Julia,1.8.2,530.62,523.54,534.45,8.4971
Python (PyPy),3.9.12,784.64,770.79,818.11,8.4972
R,4.2.0,834.88,825.5,854.2,8.4971
Clojure,1.11.1.1182,2390.65,1980.47,2568.52,8.4972
Lua,5.4.4,2063.79,2038.41,2077.82,8.4971
Elixir,1.13.4,3543.57,3436.22,3625.39,8.4326
PHP,8.1.12,3583.66,3555.75,3638.13,8.4972
Python (CPython),3.11.0,6415.99,6409.63,6565.82,8.4972
Ruby,3.1.2,15404.82,14907.95,16422.33,8.4971
Perl,5.34.1,15985.33,15961.68,16127.52,8.4971
Clojure (Babashka),1.0.165,42078.19,42023.54,43369.59,8.4972
