name,version,average,accuracy
C++ (g++),11.2.1,2.054,0.7222222222222222
C (gcc),11.2.1,2.275,0.7222222222222222
Rust,1.60.0,2.454,0.7222222222222222
Nim,1.6.6,2.476,0.6666666666666666
Go,1.19.1,3.1229999999999998,0.7222222222222222
Crystal,1.4.1,18.533,0.6666666666666666
PHP,8.1.11,38.936,0.7222222222222222
Python (PyPy),3.9.12,52.651,0.7222222222222222
Java,19.36,53.492,0.7222222222222222
Lua,5.4.4,60.296,0.6666666666666666
Javascript (nodejs),18.9.1,75.51299999999999,0.7222222222222222
Clojure (Babashka),0.10.163,100.34800000000001,0.7222222222222222
Swift,5.7,199.15800000000002,0.6666666666666666
Ruby,3.1.2,211.73,0.6666666666666666
Julia (compiled),1.8.2,252.69200000000004,0.6666666666666666
Julia,1.8.2,276.94,0.6666666666666666
R,4.2.0,297.83500000000004,0.6666666666666666
Python (CPython),3.10.5,303.53999999999996,0.7222222222222222
Elixir,1.13.4,671.962,0.6111111111111112
Clojure,1.11.1.1165,1084.047,0.7222222222222222
