name,version,median,min,max,accuracy
Fortran 90,12.1.0,77.33,73.78,79.46,8.4972
C++ (g++),11.2.1,81.02,74.67,82.53,8.4968
D (LDC),1.28.1,78.52,76.74,80.62,8.4972
Nim,1.6.6,78.26,76.76,81.38,8.4975
C (gcc),11.2.1,78.29,78.08,81.94,8.4968
Rust (nightly),1.67.0,80.74,79.0,82.14,8.497
C++ (clang++),13.0.1,80.96,79.28,83.13,8.4972
C++ (avx2),11.2.1,80.47,80.23,83.47,8.4969
C (clang),13.0.1,80.78,80.49,82.52,8.4972
D (GDC),11.2.1,81.71,80.93,83.93,8.4968
Julia (AOT compiled),1.8.2,82.06,80.97,82.53,8.4971
Rust,1.64.0,154.43,153.16,158.29,8.4972
Pony(nightly),14.0.3,161.13,158.95,167.08,8.4972
Pony,0.52.1,164.07,159.08,164.37,8.4972
Zig,0.9.1,162.14,161.58,162.71,8.4972
Go,1.19.1,165.48,162.64,167.42,8.4972
Ada (gnat-gcc),11.2.1,166.13,163.76,167.81,8.4971
Swift,5.7.1,168.26,167.2,169.17,8.4971
Common Lisp (SBCL),2.2.5,171.06,170.81,172.19,8.4972
LuaJIT,2.1.0,191.78,190.27,194.33,8.4971
C#,7.0.100,245.86,244.39,248.95,8.4972
Crystal,1.6.2,275.68,273.88,281.8,8.4971
Java,19.36,282.57,279.75,283.22,8.4972
Javascript (bun),0.2.0,342.33,319.39,348.63,8.4972
Javascript (nodejs),18.9.1,348.75,343.62,354.99,8.4972
Julia (ux4),1.8.2,377.89,373.23,380.74,5.534
Julia,1.8.2,416.94,414.62,421.45,8.4971
Haskell (GHC),9.4.3,692.01,682.45,702.31,8.4972
Python (PyPy),3.9.12,762.9,760.56,790.36,8.4972
R,4.2.0,979.81,957.83,986.07,8.4971
Clojure,1.11.1.1189,1519.44,1474.35,1568.17,8.4972
Lua,5.4.4,2347.63,2318.49,2353.07,8.4971
PHP,8.1.12,3136.1,3134.96,3138.62,8.4972
Elixir,1.13.4,3406.2,3402.94,3439.97,8.4326
Python (CPython),3.11.0,5871.76,5818.71,5928.8,8.4972
Ruby,3.1.2,14874.63,14596.09,14979.51,8.4971
Perl,5.34.1,15794.55,15681.77,15875.26,8.4971
Clojure (Babashka),1.0.165,42311.68,42252.22,43548.53,8.4972
