name,version,median,min,max,accuracy
Rust,1.60.0,162.89,159.98,163.24,0.7222
C++ (g++),11.2.1,172.72,170.87,176.5,0.7222
C (gcc),11.2.1,174.04,170.94,174.11,0.7222
Nim,1.6.6,172.74,172.52,174.67,0.7222
Fortran 90,12.1.0,175.99,175.8,176.05,0.8571
Go,1.19.1,188.87,179.06,189.01,0.7647
Swift,5.7,189.98,182.48,192.35,0.7222
Julia (AOT compiled),1.8.2,192.45,189.87,193.06,0.8235
LuaJIT,2.1.0,200.04,194.9,230.32,0.7222
Crystal,1.6.0,228.21,226.45,241.35,0.7647
Java,19.36,259.13,256.51,269.19,0.7647
C#,7.0.100,281.59,273.61,283.41,0.7647
Javascript (nodejs),18.9.1,428.64,424.22,441.8,0.7647
Julia,1.8.2,519.57,518.25,524.39,0.7778
R,4.2.0,786.6,775.51,794.47,0.8889
Python (PyPy),3.9.12,789.34,780.0,808.05,0.7778
Clojure,1.11.1.1165,2723.44,1999.48,2760.35,0.7647
PHP,8.1.11,3580.6,3563.3,3586.17,0.7222
Elixir,1.13.4,3784.23,3762.4,3858.58,0.5556
Lua,5.4.4,7356.04,6313.22,7729.25,0.7222
Python (CPython),3.10.5,14020.02,13952.52,14048.54,0.7778
Ruby,3.1.2,15313.17,14607.34,15955.03,0.7647
Perl,5.34.1,16463.01,16378.01,16513.46,0.7647
Clojure (Babashka),1.0.164,42859.4,42843.66,43366.9,0.7647
