name,version,average,accuracy
Fortran 90 (gfortran),11.2.1,147.978,0.65
Go,1.19.1,154.49599999999998,0.7647058823529411
C++ (g++),11.2.1,156.67800000000003,0.7222222222222222
C (gcc),11.2.1,157.15699999999998,0.7222222222222222
Julia (AOT compiled),1.8.2,157.938,0.7647058823529411
Rust,1.60.0,158.911,0.7222222222222222
Nim,1.6.6,159.276,0.7222222222222222
LuaJIT,2.1.0,200.113,0.7222222222222222
Java,19.36,266.113,0.7647058823529411
Python (PyPy),3.9.12,331.314,0.7222222222222222
Javascript (nodejs),18.9.1,419.647,0.7647058823529411
Julia,1.8.2,454.652,0.7647058823529411
Crystal,1.4.1,1751.1779999999999,0.7647058823529411
PHP,8.1.11,3283.03,0.7222222222222222
Elixir,1.13.4,3328.77,0.5555555555555556
Clojure,1.11.1.1165,3575.389,0.6666666666666666
Swift,5.7,5527.72,0.7647058823529411
Lua,5.4.4,6440.308,0.7222222222222222
R,4.2.0,7178.095,0.7222222222222222
Clojure (Babashka),0.10.163,12786.711000000001,0.6666666666666666
Ruby,3.1.2,14411.868999999999,0.7647058823529411
Perl,5.34.1,15503.705,0.7647058823529411
Python (CPython),3.10.5,19457.818,0.7222222222222222
