name,version,median,min,max,accuracy
C++ (avx2),11.2.1,79.35,75.32,79.59,8.4969
C (clang),13.0.1,77.95,75.66,79.45,8.4972
C++ (clang++),13.0.1,77.84,76.48,77.86,8.4972
C++ (g++),11.2.1,78.13,77.88,79.47,8.4968
C (gcc),11.2.1,79.3,78.73,79.61,8.4968
Fortran 90,12.1.0,81.48,79.16,81.86,8.4972
Julia (AOT compiled),1.8.2,79.92,79.35,80.97,8.4971
Nim,1.6.6,154.12,148.78,155.06,8.4971
Swift,5.7,158.03,153.71,158.82,8.4971
Rust,1.60.0,160.55,155.42,163.98,8.5396
Zig,0.9.1,158.01,156.7,158.42,8.4972
D (GDC),11.2.1,160.25,159.31,160.78,8.4972
Common Lisp (SBCL),2.2.5,160.77,160.43,166.32,8.4972
Go,1.19.1,162.45,162.32,166.09,8.4972
LuaJIT,2.1.0,182.73,181.5,185.22,8.4971
C#,7.0.100,249.36,247.18,254.4,8.4972
Crystal,1.6.1,272.35,270.69,277.36,8.4971
Java,19.36,282.21,281.97,283.11,8.4972
Julia (ux4),1.8.2,402.68,392.86,409.88,7.7981
Julia,1.8.2,396.86,393.63,399.24,8.4971
Javascript (nodejs),18.9.1,415.01,412.89,421.66,8.4972
Python (PyPy),3.9.12,795.6,771.8,806.7,8.4972
R,4.2.0,836.06,831.42,863.5,8.4971
Clojure,1.11.1.1165,2262.91,1848.31,2323.73,8.4972
Lua,5.4.4,2253.72,2227.62,2268.31,8.4971
PHP,8.1.12,3123.99,3101.05,3126.08,8.4972
Elixir,1.13.4,3403.4,3372.73,3414.45,8.4326
Python (CPython),3.11.0,6150.77,6127.6,6204.56,8.4972
Ruby,3.1.2,14676.87,14619.08,14812.83,8.4971
Perl,5.34.1,15572.28,15520.85,15575.7,8.4971
Clojure (Babashka),1.0.164,41581.4,41402.3,42207.57,8.4972
