name,version,median,min,max,accuracy
Rust,1.64.0,124.02,120.21,134.81,8.4972
Pony(nightly),14.0.3,139.42,134.54,145.26,8.4972
Go,1.19.1,138.25,137.64,139.61,8.4972
Pony,0.52.0,154.51,138.81,158.94,8.4972
Common Lisp (SBCL),2.2.5,143.31,142.67,144.29,8.4972
Zig,0.9.1,150.21,147.84,151.54,8.4972
LuaJIT,2.1.0,152.69,151.07,168.92,8.4971
C++ (g++),11.2.1,156.56,152.94,159.28,8.4968
Rust (nightly),1.67.0,157.75,154.43,161.07,8.497
C (clang),13.0.1,158.46,156.32,166.53,8.4972
Swift,5.7.1,163.45,156.38,166.84,8.4971
D (LDC),1.28.1,157.52,157.36,158.95,8.4972
Fortran 90,12.1.0,159.42,158.43,159.64,8.4972
C++ (clang++),13.0.1,174.5,159.26,176.21,8.4972
Crystal,1.6.2,161.5,159.96,166.95,8.4971
C++ (avx2),11.2.1,163.25,160.09,165.67,8.4969
C (gcc),11.2.1,162.34,161.53,163.59,8.4968
D (GDC),11.2.1,171.61,164.09,177.18,8.4968
Nim,1.6.6,170.59,167.92,174.2,8.4975
Julia (AOT compiled),1.8.2,169.59,169.57,170.82,8.4971
Java,19.36,210.36,204.86,210.72,8.4972
Javascript (bun),0.2.0,234.73,215.3,239.52,8.4972
C#,7.0.100,222.25,221.05,235.81,8.4972
Javascript (nodejs),18.9.1,254.51,246.6,267.04,8.4972
Julia (ux4),1.8.2,370.49,361.72,385.79,5.2653
Julia,1.8.2,456.41,439.41,501.25,8.4971
Haskell (GHC),9.4.3,462.8,452.99,482.05,8.4972
Python (PyPy),3.9.12,639.67,602.21,670.06,8.4972
R,4.2.0,826.34,808.26,830.54,8.4971
Clojure,1.11.1.1189,1399.86,1293.52,1424.17,8.4972
Lua,5.4.4,1661.03,1639.19,1718.5,8.4971
Elixir,1.13.4,2829.43,2804.55,2878.52,8.4326
PHP,8.1.12,2910.66,2860.36,2955.81,8.4972
Python (CPython),3.11.0,5246.02,5015.82,5392.66,8.4972
Ruby,3.1.2,12045.44,11958.77,12061.95,8.4971
Perl,5.34.1,13224.55,12998.32,13391.39,8.4971
Clojure (Babashka),1.0.165,34396.89,34339.15,34408.56,8.4972
