name,version,average,accuracy
C (gcc),11.2.1,161.709,0.7222222222222222
Julia (AOT compiled),1.8.2,161.989,0.7647058823529411
Nim,1.6.6,162.12099999999998,0.7222222222222222
Fortran 90 (gfortran),11.2.1,162.166,0.65
Go,1.19.1,162.88,0.7647058823529411
LuaJIT,2.1.0,163.539,0.7222222222222222
Rust,1.60.0,164.781,0.7222222222222222
C++ (g++),11.2.1,164.98499999999999,0.7222222222222222
Crystal,1.4.1,194.998,0.7647058823529411
Java,19.36,216.044,0.7647058823529411
Python (PyPy),3.9.12,300.06899999999996,0.7222222222222222
Javascript (nodejs),18.9.1,426.402,0.7647058823529411
Julia,1.8.2,438.062,0.7647058823529411
Elixir,1.13.4,2668.531,0.5555555555555556
Clojure,1.11.1.1165,2730.043,0.6666666666666666
PHP,8.1.11,2804.7180000000003,0.7222222222222222
Lua,5.4.4,5049.079,0.7222222222222222
Swift,5.7,5271.236,0.7647058823529411
R,4.2.0,6485.216,0.7222222222222222
Clojure (Babashka),0.10.163,10588.33,0.6666666666666666
Perl,5.34.1,12343.675,0.7647058823529411
Ruby,3.1.2,12376.789,0.7647058823529411
Python (CPython),3.10.5,17767.945,0.7222222222222222
