name,version,average,accuracy
Nim,1.6.6,135.21099999999998,0.7222222222222222
C++ (g++),11.2.1,135.493,0.7222222222222222
Fortran 90 (gfortran),11.2.1,135.647,0.65
Julia (AOT compiled),1.8.2,135.744,0.7647058823529411
C (gcc),11.2.1,136.291,0.7222222222222222
Go,1.19.1,136.94600000000003,0.7647058823529411
Rust,1.60.0,139.16600000000003,0.7222222222222222
Swift,5.7,141.632,0.7222222222222222
LuaJIT,2.1.0,170.97,0.7222222222222222
Crystal,1.4.1,178.594,0.7647058823529411
Java,19.36,199.25,0.7647058823529411
C#,7.0.100,216.784,0.7647058823529411
Python (PyPy),3.9.12,291.265,0.7222222222222222
Javascript (nodejs),18.9.1,369.908,0.7647058823529411
Julia,1.8.2,438.107,0.7647058823529411
R,4.2.0,697.074,0.8888888888888888
PHP,8.1.11,2889.2889999999998,0.7222222222222222
Elixir,1.13.4,2987.8239999999996,0.5555555555555556
Clojure,1.11.1.1165,3313.361,0.6666666666666666
Lua,5.4.4,5466.95,0.7222222222222222
Clojure (Babashka),0.10.163,12647.627999999999,0.6666666666666666
Ruby,3.1.2,12886.509,0.7647058823529411
Perl,5.34.1,13539.881,0.7647058823529411
Python (CPython),3.10.5,17046.613,0.7222222222222222
