name,version,average,accuracy
C (gcc),11.2.1,161.78699999999998,0.7222222222222222
C++ (g++),11.2.1,161.911,0.7222222222222222
Julia (AOT compiled),1.8.2,162.1,0.7647058823529411
Go,1.19.1,163.069,0.7647058823529411
Fortran 90 (gfortran),11.2.1,163.547,0.65
LuaJIT,2.1.0,164.322,0.7222222222222222
Nim,1.6.6,165.094,0.7222222222222222
Rust,1.60.0,165.798,0.7222222222222222
Crystal,1.4.1,196.912,0.7647058823529411
Java,19.36,215.985,0.7647058823529411
Python (PyPy),3.9.12,302.261,0.7222222222222222
Javascript (nodejs),18.9.1,424.776,0.7647058823529411
Julia,1.8.2,439.245,0.7647058823529411
R,4.2.0,1022.333,0.8888888888888888
Elixir,1.13.4,2719.646,0.5555555555555556
PHP,8.1.11,2749.8849999999998,0.7222222222222222
Clojure,1.11.1.1165,2940.593,0.6666666666666666
Lua,5.4.4,4779.722,0.7222222222222222
Swift,5.7,5260.7390000000005,0.7647058823529411
Clojure (Babashka),0.10.163,10937.151,0.6666666666666666
Ruby,3.1.2,12340.261999999999,0.7647058823529411
Perl,5.34.1,13029.251,0.7647058823529411
Python (CPython),3.10.5,17818.93,0.7222222222222222
