name,version,average,accuracy
Rust,1.60.0,391.412,0.7222222222222222
Nim,1.6.6,486.162,0.7222222222222222
Swift,5.7,489.726,0.7222222222222222
LuaJIT,2.1.0,517.336,0.7222222222222222
Fortran 90 (gfortran),11.2.1,524.042,0.65
C (gcc),11.2.1,532.053,0.7222222222222222
Julia (AOT compiled),1.8.2,543.326,0.7647058823529411
Go,1.19.1,549.078,0.7647058823529411
Python (PyPy),3.9.12,552.505,0.7222222222222222
Crystal,1.4.1,556.0899999999999,0.7647058823529411
C++ (g++),11.2.1,606.165,0.7222222222222222
Java,19.36,606.827,0.7647058823529411
Javascript (nodejs),18.9.1,626.854,0.7647058823529411
C#,7.0.100,627.772,0.7647058823529411
Julia,1.8.2,857.4730000000001,0.7647058823529411
R,4.2.0,1307.8799999999999,0.8888888888888888
PHP,8.1.11,3322.37,0.7222222222222222
Elixir,1.13.4,3322.91,0.5555555555555556
Clojure,1.11.1.1165,3793.3759999999997,0.6666666666666666
Lua,5.4.4,6606.0109999999995,0.7222222222222222
Clojure (Babashka),0.10.163,11518.751999999999,0.6666666666666666
Ruby,3.1.2,14360.794,0.7647058823529411
Perl,5.34.1,14936.8,0.7647058823529411
Python (CPython),3.10.5,19125.675000000003,0.7222222222222222
