name,version,average,accuracy
C++ (g++),11.2.1,2.4090000000000003,0.7222222222222222
C (gcc),11.2.1,2.513,0.7222222222222222
Rust,1.60.0,2.569,0.7222222222222222
Nim,1.6.6,2.953,0.6666666666666666
Go,1.19.1,3.727,0.7222222222222222
Crystal,1.4.1,21.232999999999997,0.6666666666666666
PHP,8.1.11,43.125,0.7222222222222222
Python (PyPy),3.9.12,52.324000000000005,0.7222222222222222
Java,19.36,53.924,0.7222222222222222
Lua,5.4.4,69.517,0.6666666666666666
Javascript (nodejs),18.9.1,83.096,0.7222222222222222
Clojure (Babashka),0.10.163,113.261,0.7222222222222222
Swift,5.7,222.062,0.6666666666666666
Ruby,3.1.2,236.57,0.6666666666666666
Julia,1.8.2,316.72099999999995,0.6666666666666666
R,4.2.0,335.517,0.6666666666666666
Python (CPython),3.10.5,343.751,0.7222222222222222
Elixir,1.13.4,759.808,0.6111111111111112
Clojure,1.11.1.1165,1189.12,0.7222222222222222
