name,version,average,accuracy
C (gcc),11.2.1,1.9689999999999999,0.7222222222222222
C++ (g++),11.2.1,2.1919999999999997,0.7222222222222222
Rust,1.60.0,2.42,0.7222222222222222
Go,1.19.1,3.2239999999999998,0.7222222222222222
Crystal,1.4.1,17.909000000000002,0.6666666666666666
PHP,8.1.11,37.115,0.7222222222222222
Python (PyPy),3.9.12,45.877,0.7222222222222222
Java,19.36,49.147999999999996,0.7222222222222222
Lua,5.4.4,59.372,0.6666666666666666
Javascript (nodejs),18.9.1,72.256,0.7222222222222222
Nim,1.6.6,83.72699999999999,0.6666666666666666
Clojure (Babashka),0.10.163,99.36399999999999,0.7222222222222222
Swift,5.7,192.26,0.6666666666666666
Ruby,3.1.2,201.433,0.6666666666666666
Julia,1.8.2,267.37100000000004,0.6666666666666666
R,4.2.0,288.795,0.6666666666666666
Python (CPython),3.10.5,294.264,0.7222222222222222
Elixir,1.13.4,645.1329999999999,0.6111111111111112
Clojure,1.11.1.1165,1063.0049999999999,0.7222222222222222
