name,version,median,min,max,accuracy
C++ (g++),11.2.1,80.77,80.69,81.64,0.7222
C (gcc),11.2.1,80.8,80.77,81.0,0.7222
Julia (AOT compiled),1.8.2,81.18,81.06,81.37,0.8235
Fortran 90,12.1.0,81.59,81.57,82.57,0.8571
Nim,1.6.6,161.18,161.17,161.85,0.7222
Zig,0.9.1,161.99,161.53,163.18,0.619
Go,1.19.1,162.4,162.3,162.59,0.7647
Rust,1.60.0,163.82,163.0,165.83,0.7222
Swift,5.7,166.15,166.04,166.41,0.7222
LuaJIT,2.1.0,169.92,169.86,170.59,0.7222
Crystal,1.6.0,194.88,194.73,194.92,0.7647
Java,19.36,213.29,212.47,213.4,0.7647
C#,7.0.100,234.94,233.4,235.58,0.7647
Julia,1.8.2,354.23,350.9,362.09,0.7778
Javascript (nodejs),18.9.1,435.88,431.5,437.93,0.7647
R,4.2.0,648.92,635.31,678.38,0.8889
Python (PyPy),3.9.12,645.68,645.25,652.96,0.7778
Lua,5.4.4,1855.35,1855.23,1857.26,0.7222
Clojure,1.11.1.1165,1984.85,1966.69,2019.02,0.7647
Elixir,1.13.4,2671.49,2637.45,2679.72,0.5556
PHP,8.1.11,2741.28,2732.92,2910.62,0.7222
Python (CPython),3.10.5,10949.85,10930.6,10953.31,0.7778
Ruby,3.1.2,12206.01,12196.06,12247.73,0.7647
Perl,5.34.1,12281.7,12210.84,12302.12,0.7647
Clojure (Babashka),1.0.164,34711.45,34602.3,34808.78,0.7647
