name,version,median,min,max,accuracy
C++ (g++),11.2.1,81.56,80.38,81.94,8.4968
C++ (clang++),13.0.1,80.89,80.6,81.99,8.4972
C (gcc),11.2.1,80.74,80.63,81.35,8.4968
C (clang),13.0.1,80.86,80.69,81.88,8.4972
Julia (AOT compiled),1.8.2,81.14,80.96,81.84,8.4971
C++ (avx2),11.2.1,81.78,81.55,82.75,8.4969
Fortran 90,12.1.0,82.45,81.79,83.25,8.4972
Zig,0.9.1,161.27,161.21,162.81,8.4972
Nim,1.6.6,162.0,161.61,162.4,8.4971
Go,1.19.1,163.1,163.02,164.57,8.4972
D (GDC),11.2.1,163.4,163.17,170.88,8.4972
Rust,1.60.0,166.02,165.45,167.15,8.4972
Common Lisp (SBCL),2.2.5,169.36,166.93,173.53,8.4972
Swift,5.7,167.88,167.57,168.44,8.4971
LuaJIT,2.1.0,193.08,192.82,193.49,8.4971
C#,7.0.100,250.86,250.82,251.86,8.4972
Crystal,1.6.1,284.52,283.78,288.69,8.4971
Java,19.36,288.37,288.04,294.69,8.4972
Julia,1.8.2,409.34,407.55,415.78,8.4971
Julia (ux4),1.8.2,413.41,411.86,449.0,7.7981
Javascript (nodejs),18.9.1,435.87,435.21,442.73,8.4972
Python (PyPy),3.9.12,788.51,787.12,790.24,8.4972
R,4.2.0,832.38,828.8,834.81,8.4971
Clojure,1.11.1.1165,2368.81,2294.49,2396.79,8.4972
Lua,5.4.4,2389.32,2379.3,2390.34,8.4971
PHP,8.1.12,3260.43,3252.8,3263.68,8.4972
Elixir,1.13.4,3546.01,3521.39,3551.55,8.4326
Python (CPython),3.11.0,6378.86,6348.81,6420.92,8.4972
Ruby,3.1.2,15424.56,15337.39,15967.37,8.4971
Perl,5.34.1,16233.61,16209.2,16429.57,8.4971
Clojure (Babashka),1.0.164,42796.03,42500.48,42924.33,8.4972
