name,version,median,min,max,accuracy
C++ (clang++),13.0.1,80.42,80.1,83.28,0.7222
C++ (g++),11.2.1,82.77,80.36,83.72,0.7222
C (clang),13.0.1,81.36,80.43,81.59,0.7222
C++ (avx2),11.2.1,80.66,80.5,82.65,0.6111
C (gcc),11.2.1,84.76,82.02,91.63,0.7222
Fortran 90,12.1.0,83.37,82.32,83.98,0.8571
Julia (AOT compiled),1.8.2,83.66,83.65,88.58,0.8235
Nim,1.6.6,159.54,154.59,164.54,0.7222
Zig,0.9.1,160.61,155.94,161.86,0.619
D (GDC),11.2.1,159.58,157.26,160.29,0.7222
Swift,5.7,162.94,158.97,165.35,0.7222
Go,1.19.1,164.26,159.74,164.64,0.7647
Rust,1.60.0,164.72,162.34,165.68,0.7222
Common Lisp (SBCL),2.2.5,169.07,167.7,172.27,0.7647
LuaJIT,2.1.0,185.13,184.64,188.32,0.7222
C#,7.0.100,244.28,242.36,249.92,0.7647
Crystal,1.6.1,262.73,257.68,267.48,0.7647
Java,19.36,294.56,286.75,304.37,0.7647
Julia,1.8.2,386.72,383.07,387.34,0.7778
Javascript (nodejs),18.9.1,435.54,405.69,438.7,0.7647
Julia (ux4),1.8.2,439.52,407.96,443.13,0.5
Python (PyPy),3.9.12,751.24,749.93,763.18,0.7778
R,4.2.0,844.17,820.76,863.2,0.8889
Clojure,1.11.1.1165,2325.93,2274.96,2355.18,0.7647
Lua,5.4.4,2352.75,2330.77,2406.6,0.7222
PHP,8.1.12,3176.43,3148.74,3265.4,0.7222
Elixir,1.13.4,3413.59,3340.6,3423.21,0.5556
Python (CPython),3.11.0,6196.14,5878.89,6615.25,0.7778
Ruby,3.1.2,14467.47,14067.14,14869.69,0.7647
Perl,5.34.1,15530.35,14872.41,15939.62,0.7647
Clojure (Babashka),1.0.164,43271.07,42664.32,43320.82,0.7647
