name,version,average,accuracy
C (gcc),11.2.1,151.68400000000003,0.7222222222222222
Nim,1.6.6,154.96599999999998,0.7222222222222222
C++ (g++),11.2.1,156.099,0.7222222222222222
Julia (AOT compiled),1.8.2,157.913,0.7647058823529411
Go,1.19.1,160.79,0.7647058823529411
Swift,5.7,160.85,0.7222222222222222
Fortran 90 (gfortran),11.2.1,161.95200000000003,0.65
Rust,1.60.0,162.59799999999998,0.7222222222222222
LuaJIT,2.1.0,196.323,0.7222222222222222
Crystal,1.4.1,208.13,0.7647058823529411
C#,7.0.100,242.68,0.7647058823529411
Java,19.36,274.95799999999997,0.7647058823529411
Python (PyPy),3.9.12,332.992,0.7222222222222222
Javascript (nodejs),18.9.1,424.784,0.7647058823529411
Julia,1.8.2,481.39799999999997,0.7647058823529411
R,4.2.0,1170.836,0.8888888888888888
PHP,8.1.11,3313.7110000000002,0.7222222222222222
Elixir,1.13.4,3464.527,0.5555555555555556
Clojure,1.11.1.1165,3585.991,0.6666666666666666
Lua,5.4.4,5931.6449999999995,0.7222222222222222
Clojure (Babashka),0.10.163,12639.019,0.6666666666666666
Ruby,3.1.2,14698.245,0.7647058823529411
Perl,5.34.1,15870.765000000001,0.7647058823529411
Python (CPython),3.10.5,19719.23,0.7222222222222222
