name,version,median,min,max,accuracy
C (clang),13.0.1,56.62,56.07,58.66,8.4972
C++ (clang++),13.0.1,60.12,56.83,60.45,8.4972
Fortran 90,12.1.0,57.63,57.39,60.1,8.4972
C++ (avx2),11.2.1,57.74,57.73,60.43,8.4969
C (gcc),11.2.1,58.71,58.04,60.8,8.4968
Julia (AOT compiled),1.8.2,58.16,58.14,58.75,8.4971
C++ (g++),11.2.1,59.02,58.7,60.88,8.4968
Zig,0.9.1,112.6,112.28,113.23,8.4972
D (GDC),11.2.1,114.27,113.75,116.98,8.4972
Rust,1.60.0,115.8,114.38,115.87,8.5396
Nim,1.6.6,115.76,115.23,117.79,8.4971
Go,1.19.1,117.26,115.94,120.01,8.4972
Swift,5.7,119.91,117.73,121.69,8.4971
Common Lisp (SBCL),2.2.5,119.63,119.06,120.96,8.4972
LuaJIT,2.1.0,140.35,136.73,141.38,8.4971
Java,19.36,171.75,170.6,172.6,8.4972
C#,7.0.100,182.34,182.0,182.52,8.4972
Crystal,1.6.1,202.14,200.19,202.74,8.4971
Julia,1.8.2,291.82,291.47,294.63,8.4971
Julia (ux4),1.8.2,295.03,291.49,295.91,7.7981
Javascript (nodejs),18.9.1,306.77,306.6,307.49,8.4972
Python (PyPy),3.9.12,556.91,553.81,560.08,8.4972
R,4.2.0,566.78,560.08,567.05,8.4971
Clojure,1.11.1.1165,1456.36,1122.05,1887.63,8.4972
Lua,5.4.4,1669.73,1667.42,1673.94,8.4971
PHP,8.1.12,2285.39,2277.49,2285.79,8.4972
Elixir,1.13.4,2501.41,2487.04,2506.98,8.4326
Python (CPython),3.11.0,4510.89,4483.56,4650.91,8.4972
Ruby,3.1.2,10765.67,10764.36,10774.33,8.4971
Perl,5.34.1,11553.77,11497.92,11746.67,8.4971
Clojure (Babashka),1.0.164,29692.09,29637.82,29905.85,8.4972
