name,version,average,accuracy
Julia (AOT compiled),1.8.2,276.188,0.8235294117647058
Rust,1.60.0,414.688,0.7222222222222222
LuaJIT,2.1.0,534.522,0.7222222222222222
C (gcc),11.2.1,545.6189999999999,0.7222222222222222
Crystal,1.4.1,546.284,0.7647058823529411
Nim,1.6.6,548.359,0.7222222222222222
Swift,5.7,550.253,0.7222222222222222
C++ (g++),11.2.1,551.187,0.7222222222222222
Fortran 90 (gfortran),11.2.1,559.252,0.65
Go,1.19.1,567.237,0.7647058823529411
Python (PyPy),3.9.12,605.636,0.7222222222222222
Java,19.36,607.837,0.7647058823529411
Javascript (nodejs),18.9.1,628.263,0.7647058823529411
C#,7.0.100,640.364,0.7647058823529411
Julia,1.8.2,668.8190000000001,0.7222222222222222
R,4.2.0,1235.97,0.8888888888888888
Clojure,1.11.1.1165,2416.866,0.7647058823529411
Elixir,1.13.4,3632.0449999999996,0.5555555555555556
PHP,8.1.11,3641.76,0.7222222222222222
Lua,5.4.4,6804.197999999999,0.7222222222222222
Ruby,3.1.2,16218.383,0.7647058823529411
Perl,5.34.1,16905.891,0.7647058823529411
Python (CPython),3.10.5,21261.287,0.7222222222222222
Clojure (Babashka),1.0.164,43822.117,0.7647058823529411
