name,version,median,min,max,accuracy
C++ (g++),11.2.1,80.77,79.82,83.2,0.7222
Julia (AOT compiled),1.8.2,81.47,81.38,82.97,0.8235
Fortran 90,12.1.0,82.34,81.67,82.71,0.8571
C (gcc),11.2.1,83.27,82.7,96.94,0.7222
Nim,1.6.6,161.05,160.4,163.25,0.7222
Go,1.19.1,165.41,161.21,170.2,0.7647
Zig,0.9.1,162.35,162.24,163.39,0.619
D (GDC),11.2.1,166.16,165.52,169.42,0.7222
Rust,1.60.0,168.4,165.86,183.16,0.7222
Swift,5.7,167.54,167.18,186.37,0.7222
Common Lisp (SBCL),2.2.5,172.94,169.67,175.1,0.7647
LuaJIT,2.1.0,195.7,190.04,199.36,0.7222
C#,7.0.100,260.94,251.84,271.43,0.7647
Crystal,1.6.1,284.41,284.01,289.13,0.7647
Java,19.36,289.91,284.71,300.02,0.7647
Julia,1.8.2,407.28,397.14,426.23,0.7778
Javascript (nodejs),18.9.1,443.15,435.26,444.12,0.7647
Python (PyPy),3.9.12,805.07,798.43,820.33,0.7778
R,4.2.0,960.85,958.01,961.27,0.8889
Clojure,1.11.1.1165,1903.06,1825.67,2288.15,0.7647
Lua,5.4.4,2379.97,2376.64,2390.06,0.7222
PHP,8.1.11,3435.79,3420.21,3471.23,0.7222
Elixir,1.13.4,3547.3,3527.66,3560.5,0.5556
Python (CPython),3.10.5,13682.46,13615.2,13789.49,0.7778
Ruby,3.1.2,15292.66,15249.81,15329.54,0.7647
Perl,5.34.1,16181.24,16133.44,16221.12,0.7647
Clojure (Babashka),1.0.164,43582.74,43556.77,43637.36,0.7647
