name,version,median,min,max,accuracy
C (gcc),11.2.1,67.47,67.42,67.84,0.7222
Julia (AOT compiled),1.8.2,68.12,68.06,68.13,0.8235
C++ (g++),11.2.1,68.25,67.51,68.59,0.7222
Nim,1.6.6,135.02,134.72,136.0,0.7222
Fortran 90,11.2.1,135.84,135.02,137.52,0.3462
Go,1.19.1,136.52,136.44,137.04,0.7647
Rust,1.60.0,138.55,138.19,139.64,0.7222
Swift,5.7,140.35,140.28,140.45,0.7222
LuaJIT,2.1.0,169.36,168.44,169.9,0.7222
Java,19.36,197.87,197.22,198.91,0.7647
C#,7.0.100,214.02,212.35,214.08,0.7647
Crystal,1.6.0,237.54,236.64,237.99,0.7647
Julia,1.8.2,364.88,361.32,370.47,0.7778
Javascript (nodejs),18.9.1,368.02,363.86,369.66,0.7647
Python (PyPy),3.9.12,725.45,713.18,731.2,0.7778
R,4.2.0,736.76,734.91,754.25,0.8889
Clojure,1.11.1.1165,1967.99,1665.64,2020.06,0.7647
PHP,8.1.11,2889.77,2883.56,2898.17,0.7222
Elixir,1.13.4,2968.43,2945.67,3007.72,0.5556
Lua,5.4.4,6048.06,5685.22,6107.15,0.7222
Python (CPython),3.10.5,11465.54,11444.33,11481.75,0.7778
Ruby,3.1.2,12802.07,12775.22,12881.71,0.7647
Perl,5.34.1,13548.38,13516.56,13591.08,0.7647
Clojure (Babashka),1.0.164,37972.9,37807.42,38016.44,0.7647
