name,version,median,min,max,accuracy
C++ (clang++),13.0.1,61.35,59.47,61.75,8.4972
D (LDC),1.28.1,59.85,59.78,59.87,8.4972
Fortran 90,12.1.0,60.52,60.42,60.61,8.4972
C++ (g++),11.2.1,61.54,61.46,62.64,8.4968
C (clang),13.0.1,67.41,61.85,68.75,8.4972
C (gcc),11.2.1,67.37,62.39,72.79,8.4968
Julia (AOT compiled),1.8.2,67.85,67.77,67.97,8.4971
C++ (avx2),11.2.1,69.19,68.64,71.53,8.4969
Zig,0.9.1,118.88,118.58,138.43,8.4972
Rust,1.64.0,119.94,119.6,123.03,8.5396
Go,1.19.1,120.6,119.77,134.66,8.4972
Nim,1.6.6,130.66,120.41,134.89,8.4971
Swift,5.7,124.23,124.13,124.62,8.4971
Common Lisp (SBCL),2.2.5,125.29,124.75,125.96,8.4972
LuaJIT,2.1.0,142.62,142.22,160.66,8.4971
Java,19.36,191.19,187.25,211.57,8.4972
C#,7.0.100,192.6,192.33,193.39,8.4972
Crystal,1.6.1,241.18,210.41,241.77,8.4971
Javascript (bun),0.2.0,257.02,257.02,258.27,8.4972
Javascript (nodejs),18.9.1,274.86,272.32,299.89,8.4972
Julia (ux4),1.8.2,327.37,320.31,331.55,7.7981
Julia,1.8.2,352.6,351.73,355.19,8.4971
Python (PyPy),3.9.12,604.53,601.78,611.12,8.4972
R,4.2.0,799.75,735.81,804.39,8.4971
Clojure,1.11.1.1182,1950.38,1543.91,1962.86,8.4972
Lua,5.4.4,1749.65,1744.8,1985.78,8.4971
PHP,8.1.12,2385.8,2385.42,2404.03,8.4972
Elixir,1.13.4,2617.26,2600.25,2877.19,8.4326
Python (CPython),3.11.0,4737.24,4658.79,4899.15,8.4972
Ruby,3.1.2,11335.16,11274.18,11383.87,8.4971
Perl,5.34.1,11918.41,11903.74,12004.2,8.4971
Clojure (Babashka),1.0.165,32987.99,32936.83,33024.18,8.4972
