name,version,average,accuracy
Julia (AOT compiled),1.8.2,81.53,0.8235294117647058
Nim,1.6.6,161.667,0.7222222222222222
C (gcc),11.2.1,161.68099999999998,0.7222222222222222
C++ (g++),11.2.1,162.056,0.7222222222222222
LuaJIT,2.1.0,163.426,0.7222222222222222
Go,1.19.1,163.70499999999998,0.7647058823529411
Fortran 90 (gfortran),11.2.1,165.02,0.65
Rust,1.60.0,165.267,0.7222222222222222
Swift,5.7,166.497,0.7222222222222222
Crystal,1.4.1,194.92200000000003,0.7647058823529411
Java,19.36,214.441,0.7647058823529411
C#,7.0.100,234.466,0.7647058823529411
Python (PyPy),3.9.12,298.81600000000003,0.7222222222222222
Julia,1.8.2,371.575,0.7222222222222222
Javascript (nodejs),18.9.1,425.615,0.7647058823529411
R,4.2.0,756.124,0.8888888888888888
Elixir,1.13.4,2642.9900000000002,0.5555555555555556
PHP,8.1.11,2733.319,0.7222222222222222
Clojure,1.11.1.1165,2808.7210000000005,0.6666666666666666
Lua,5.4.4,5073.278,0.7222222222222222
Clojure (Babashka),0.10.163,10350.367,0.6666666666666666
Ruby,3.1.2,12264.951,0.7647058823529411
Perl,5.34.1,12268.94,0.7647058823529411
Python (CPython),3.10.5,17755.43,0.7222222222222222
