name,version,median,min,max,accuracy
Rust,1.64.0,268.76,268.18,273.98,8.4972
C++ (g++),11.2.1,274.23,268.56,275.02,8.4968
Rust (nightly),1.67.0,270.06,268.97,272.5,8.497
D (LDC),1.28.1,279.02,269.82,284.5,8.4972
Nim,1.6.6,271.91,270.08,274.61,8.4975
C++ (clang++),13.0.1,275.75,270.89,286.58,8.4972
Fortran 90,12.1.0,274.92,271.15,275.92,8.4972
C (gcc),11.2.1,274.83,272.03,313.99,8.4968
Julia (AOT compiled),1.8.2,277.81,272.72,284.43,8.4971
C++ (avx2),11.2.1,274.6,272.86,286.11,8.4969
D (GDC),11.2.1,280.59,273.13,280.68,8.4968
C (clang),13.0.1,275.81,274.73,284.37,8.4972
Common Lisp (SBCL),2.2.5,535.95,534.88,555.58,8.4972
Go,1.19.1,542.54,535.97,557.85,8.4972
LuaJIT,2.1.0,543.22,542.91,559.3,8.4971
Crystal,1.6.2,548.97,543.21,566.17,8.4971
Swift,5.7.1,551.01,545.7,555.39,8.4971
Javascript (bun),0.2.0,567.41,547.94,570.41,8.4972
Zig,0.9.1,555.28,548.9,564.59,8.4972
Java,19.36,594.53,588.3,625.83,8.4972
Julia (ux4),1.8.2,609.22,602.6,634.83,7.798
Julia,1.8.2,626.21,621.8,637.15,8.4971
Javascript (nodejs),18.9.1,653.22,632.81,657.62,8.4972
C#,7.0.100,643.19,637.47,664.11,8.4972
Python (PyPy),3.9.12,830.82,824.48,856.86,8.4972
R,4.2.0,1193.56,1161.81,1212.17,8.4971
Lua,5.4.4,2135.53,2101.61,2148.88,8.4971
Clojure,1.11.1.1189,2687.18,2188.26,2701.98,8.4972
Elixir,1.13.4,3596.19,3511.41,3599.12,8.4326
PHP,8.1.12,3676.04,3675.14,3736.65,8.4972
Python (CPython),3.11.0,6806.12,6789.3,7140.9,8.4972
Ruby,3.1.2,16282.63,15816.24,16690.05,8.4971
Perl,5.34.1,16934.28,16759.75,17266.23,8.4971
Clojure (Babashka),1.0.165,42983.1,42894.92,43699.85,8.4972
