name,version,average,accuracy
C (gcc),11.2.1,2.177,0.7222222222222222
C++ (g++),11.2.1,2.2590000000000003,0.7222222222222222
Rust,1.60.0,2.297,0.7222222222222222
Go,1.19.1,2.944,0.7222222222222222
Crystal,1.4.1,17.551000000000002,0.6666666666666666
PHP,8.1.11,36.507999999999996,0.7222222222222222
Python (PyPy),3.9.12,46.938,0.7222222222222222
Java,19.36,49.249,0.7222222222222222
Lua,5.4.4,58.949,0.6666666666666666
Javascript (nodejs),18.9.1,72.518,0.7222222222222222
Nim,1.6.6,83.74199999999999,0.6666666666666666
Swift,5.7,193.279,0.6666666666666666
Ruby,3.1.2,202.405,0.6666666666666666
Julia,1.8.2,275.49600000000004,0.6666666666666666
R,4.2.0,284.09299999999996,0.6666666666666666
Python (CPython),3.10.5,294.529,0.7222222222222222
Elixir,1.13.4,641.2750000000001,0.6111111111111112
