name,version,median,min,max,accuracy
Fortran 90,11.2.0,78.13,76.97,81.66,0.3462
C (gcc),11.2.1,81.37,79.06,82.15,0.7222
C++ (g++),11.2.1,81.01,79.67,81.15,0.7222
Julia (AOT compiled),1.8.2,81.87,81.55,82.29,0.8235
Rust,1.60.0,161.34,153.43,162.61,0.7222
Nim,1.6.6,161.94,161.8,162.45,0.7222
Swift,5.7,163.24,162.7,163.93,0.7222
Go,1.19.1,163.04,162.87,166.99,0.7647
LuaJIT,2.1.0,203.79,203.74,205.64,0.7222
C#,7.0.100,251.99,251.29,252.99,0.7647
Java,19.36,284.18,279.75,286.86,0.7647
Crystal,1.6.0,283.94,282.85,288.51,0.7647
Julia,1.8.2,417.38,410.8,418.15,0.7778
Javascript (nodejs),18.9.1,441.34,433.23,443.91,0.7647
R,4.2.0,780.33,767.0,782.46,0.8889
Python (PyPy),3.9.12,789.42,780.4,800.81,0.7778
Clojure,1.11.1.1165,2312.28,1475.74,2347.45,0.7647
PHP,8.1.11,3364.98,3361.47,3396.44,0.7222
Elixir,1.13.4,3485.65,3465.85,3495.28,0.5556
Lua,5.4.4,6804.17,6478.8,7153.16,0.7222
Python (CPython),3.10.5,13492.76,13403.31,13519.36,0.7778
Ruby,3.1.2,15006.46,14862.78,15264.73,0.7647
Perl,5.34.1,16043.02,15938.09,16089.15,0.7647
Clojure (Babashka),1.0.164,43810.42,43774.97,43903.03,0.7647
